angle_deg,distance_mm,quality,rotation
135.00,66.2,18,1
135.90,66.2,21,1
136.80,0.0,0,1
137.70,16.8,176,1
138.60,19.8,173,1
139.50,0.0,0,1
140.40,0.0,0,1
141.30,0.0,0,1
142.20,0.0,0,1
143.10,0.0,0,1
144.00,0.0,0,1
144.90,0.0,0,1
145.80,0.0,0,1
146.70,0.0,0,1
147.60,0.0,0,1
148.50,0.0,0,1
149.40,0.0,0,1
150.30,0.0,0,1
151.20,0.0,0,1
152.10,3.8,143,1
153.00,0.0,0,1
153.90,0.0,0,1
154.80,0.0,0,1
155.70,0.0,0,1
156.60,0.0,0,1
157.50,0.0,0,1
158.40,0.0,0,1
159.30,0.0,0,1
160.20,0.0,0,1
161.10,26.8,95,1
162.00,26.8,97,1
162.90,0.0,0,1
163.80,6.5,238,1
164.70,0.0,0,1
165.60,0.0,0,1
166.50,0.0,0,1
167.40,0.0,0,1
168.30,0.0,0,1
169.20,0.0,0,1
170.10,0.0,0,1
171.00,65.5,50,1
171.90,0.0,0,1
172.80,0.0,0,1
173.70,0.0,0,1
174.60,0.0,0,1
175.50,0.0,0,1
176.40,0.0,0,1
177.30,0.0,0,1
178.20,0.0,0,1
179.10,0.0,0,1
180.00,0.0,0,1
180.90,0.0,0,1
181.80,0.0,0,1
182.70,0.0,0,1
183.60,0.0,0,1
184.50,0.0,0,1
185.40,0.0,0,1
186.30,0.0,0,1
187.20,0.0,0,1
188.10,0.0,0,1
189.00,0.0,0,1
189.90,0.0,0,1
190.80,0.0,0,1
191.70,0.0,0,1
192.60,0.0,0,1
193.50,0.0,0,1
194.40,0.0,0,1
195.30,0.0,0,1
196.20,0.0,0,1
197.10,0.0,0,1
198.00,0.0,0,1
198.90,0.0,0,1
199.80,0.0,0,1
200.70,0.0,0,1
201.60,0.0,0,1
202.50,0.0,0,1
203.40,0.0,0,1
204.30,0.0,0,1
205.20,0.0,0,1
206.10,0.0,0,1
207.00,0.0,0,1
207.90,0.0,0,1
208.80,0.0,0,1
209.70,0.0,0,1
210.60,0.0,0,1
211.50,0.0,0,1
212.40,0.0,0,1
213.30,0.0,0,1
214.20,0.0,0,1
215.10,0.0,0,1
216.00,0.0,0,1
216.90,134.8,1,1
217.80,135.2,4,1
218.70,135.0,6,1
219.60,135.2,9,1
220.50,134.8,12,1
221.40,135.0,15,1
222.30,134.8,17,1
223.20,135.0,20,1
224.10,135.0,24,1
225.00,134.5,27,1
225.90,134.8,31,1
226.80,134.5,35,1
227.70,134.2,39,1
228.60,134.5,44,1
229.50,134.0,48,1
230.40,134.5,53,1
231.30,134.0,57,1
232.20,134.2,63,1
233.10,133.8,69,1
234.00,134.0,73,1
234.90,134.0,79,1
235.80,132.0,80,1
236.70,0.0,0,1
237.60,69.8,249,1
238.50,69.5,245,1
239.40,71.2,242,1
240.30,70.8,244,1
241.20,70.0,249,1
242.10,130.0,6,1
243.00,128.8,63,1
243.90,129.0,63,1
244.80,128.8,65,1
245.70,0.0,0,1
246.60,128.8,65,1
247.50,0.0,0,1
248.40,0.0,0,1
249.30,0.0,0,1
250.20,0.0,0,1
251.10,0.0,0,1
252.00,0.0,0,1
252.90,0.0,0,1
253.80,0.0,0,1
254.70,128.5,73,1
255.60,0.0,0,1
256.50,0.0,0,1
257.40,0.0,0,1
258.30,0.0,0,1
259.20,0.0,0,1
260.10,0.0,0,1
261.00,0.0,0,1
